"","year","h.below2.5.","h.below25.","h.below50.","h.below75.","h.below97.5.","mu.hbelow2.5.","mu.hbelow25.","mu.hbelow50.","mu.hbelow75.","mu.hbelow97.5.","S2.5.","S25.","S50.","S75.","S97.5.","N2.5.","N25.","N50.","N75.","N97.5.","log.resid2.5.","log.resid25.","log.resid50.","log.resid75.","log.resid97.5.","R2.5.","R25.","R50.","R75.","R97.5.","log.qS.mr2.5.","log.qS.mr25.","log.qS.mr50.","log.qS.mr75.","log.qS.mr97.5.","log.qS.weir2.5.","log.qS.weir25.","log.qS.weir50.","log.qS.weir75.","log.qS.weir97.5.","qS.weir2.5.","qS.weir25.","qS.weir50.","qS.weir75.","qS.weir97.5.","qS.mr2.5.","qS.mr25.","qS.mr50.","qS.mr75.","qS.mr97.5."
"21",1990,124192.596861983,140532.181032664,150019.793969964,160203.44414543,181870.36924831,0.587434145246633,0.625517396854691,0.645672502572452,0.665338597152806,0.699712069991646,70760.4092433678,77906.7816197974,82528.2415876729,87077.4936247866,96273.9957854846,204879.427679797,222908.641315955,232788.478246945,243674.445098282,267642.6551869,-0.464908956280558,-0.142583016045421,0.0365797186909926,0.226911972448976,0.630914835309887,111754.923500882,142582.119063264,165320.585506829,191548.541281756,248190.11945935,11.645474087683,11.7307340579927,11.7787798564802,11.8255666266751,11.9129757868827,10.9061879052363,10.9756994663581,11.0071902796184,11.0397633083279,11.105376521294,54512.6413562467,58436.7041077489,60306.205267238,62302.9034732472,66527.8890100316,114173.45336574,124334.905985286,130454.509207196,136703.090009612,149189.980945759
"22",1991,52395.356523665,59083.0241076516,63299.2178820845,67472.3847921484,76400.894679727,0.410640013192068,0.449988391569168,0.470487208348205,0.492295411784223,0.533601178858492,60121.2931449481,67043.6878902896,70861.0957007021,74802.4899690397,82902.9573906639,118662.030637361,128931.67772977,134200.049606915,140205.83254544,152046.181395264,-0.0567350992178869,0.415374944453682,0.623197240213745,0.802622588982617,1.14358926834218,153248.265718464,231174.977959024,271874.733844677,308552.658889423,381649.270656622,11.4889825985903,11.5801832222241,11.6281181334138,11.6733442454751,11.7636932376436,10.7583734275986,10.8217148121137,10.8549592614559,10.8884501674983,10.9561410313432,47022.1209498253,50096.9202209695,51790.3575511455,53554.2355241076,57304.8783648708,97634.1499527851,106957.113239895,112208.960800501,117400.241748861,128501.163496994
"23",1992,92381.9632630659,105526.072789112,112461.97798647,120132.239810188,136325.600129876,0.402377351331169,0.442850808392952,0.463038765139103,0.484245083415904,0.523722943314514,111469.150466109,123994.979797425,130665.821109198,137906.16186182,152361.304559182,214285.057451197,233940.523192321,243819.936745998,253931.692298404,276111.925847229,-0.710626824279004,-0.147851508418289,0.0737594794695591,0.280738266740812,0.708554220144411,102863.478032153,173215.641764466,210301.669340832,249548.284562959,323713.042721433,12.1072822566258,12.1914190688537,12.2379277387181,12.284140852843,12.3731822504763,11.3714876006105,11.4314292627615,11.4662840906362,11.5013097408522,11.5625302422351,86810.9115168844,92173.621066791,95442.9619204809,98845.1478085855,105085.569223471,181186.516455476,197090.653496047,206473.579619734,216239.280496635,236376.759728249
"24",1993,83322.7903409782,94539.7069893611,101541.439018918,108198.485316155,123029.824156711,0.217119987060162,0.247111855829557,0.263429859037347,0.279841297180006,0.313056927654171,243713.967456249,268599.166292658,283667.239976833,299414.779179015,329762.908444153,339973.985067947,369371.920894661,385742.994085423,402275.971790021,437154.88454946,-0.137299054020631,0.332106862524972,0.580053520342425,0.844062478441857,1.34648701028914,252910.986715353,305878.975127327,330925.206042208,359497.989665398,414621.895532198,12.8824218506381,12.9672088402828,13.0115757729742,13.0606150354366,13.1485842317637,12.1460235680978,12.2104661250872,12.2432335533818,12.2759250110806,12.3373739763758,188343.663066688,200880.629027052,207572.001452958,214469.970761575,228062.268110653,393336.929596479,428141.420181781,447564.425071391,470059.723060634,513283.822931815
"25",1994,104243.857773469,118877.940335817,126234.85786858,134490.662624708,151756.222920261,0.475572973379254,0.518906082049877,0.540410674490021,0.560802497704691,0.599647054008733,91608.519216423,101643.359506563,107819.316810892,114292.131135026,126814.366481283,206551.012354477,224534.267608394,234546.681344857,244919.487727626,266676.174870226,-0.0150211222282826,0.255539788836054,0.38714487722396,0.506758899426771,0.81942697684467,224502.912642476,250173.36092515,264209.840964718,280197.737307486,311779.216269708,11.8999452806731,11.9952977069432,12.0468621533644,12.0963540215805,12.1892033314262,11.1308483626602,11.222873522739,11.2754217098395,11.3241352802107,11.421726927743,68244.2437196755,74822.470216021,78859.3930617665,82796.0207146297,91283.6469028876,147258.568163815,161991.267261662,170563.36578558,179217.247559121,196654.435246674
"26",1995,57494.2413125211,65882.8212142138,70316.0276809152,75153.0531061876,85554.5560907453,0.35434266596719,0.393737837221229,0.413924796540364,0.434807283309572,0.47540324145467,84747.0325035526,93988.1454119548,99585.1002844416,105303.161168215,117546.705894073,150345.677620191,163005.448449524,170175.088184051,177499.438577101,192495.786133128,-1.6371991338412,-1.3362447002464,-1.17662930582423,-1.02234376487189,-0.683841410164335,38954.2136579977,48542.8821023054,53707.6693170402,59512.3457715964,71452.0427604516,11.8271181920444,11.9161858069861,11.9676046274573,12.0156473384512,12.1079958566677,11.0489048461875,11.1464188635458,11.1953394989959,11.2453316839888,11.3362151377129,62875.0591039088,69315.1561460622,72790.4105152045,76521.8565530067,83802.2501852613,136915.359073895,149669.649522759,157566.776907129,165321.4994373,181315.857509032
"27",1996,81242.1317317338,91578.7310568044,97771.705176249,104505.324329537,119006.279568016,0.314236274078536,0.355217369549222,0.378690159851709,0.402031476578403,0.443516091172227,130390.580368411,149750.953868156,161237.972716682,172868.14386577,197607.242732733,223374.109253754,246072.378601731,259871.273787657,272900.634731104,301385.14390466,-0.603622823154075,-0.30966748683834,-0.168667902308169,-0.0265403407725846,0.28027485671879,146798.887511732,162132.496726531,170033.700967806,178691.025438118,196259.958741052,12.2507269251919,12.3828338676973,12.4492205660469,12.5114327541427,12.6320982353112,11.4614120197139,11.6036805741123,11.6773093386623,11.7481865178313,11.8832622426826,94979.0894831477,109500.081813078,117866.669059193,126523.903455764,144822.228791043,209133.257903075,238669.224667437,255051.451098228,271422.724665493,306231.992045891
"28",1997,61900.2015216865,69479.2597306865,74417.9463280179,79715.3298394546,90915.8711299366,0.268455518411734,0.307004095911268,0.328848840278906,0.35122931808134,0.397693257524063,124298.584231137,141486.573165455,151774.533218451,163158.293113949,185826.274423721,195821.715298763,215499.107292997,226922.925333416,238687.370226895,263261.582620662,-0.711689797525868,-0.424325257526958,-0.28782310253438,-0.151236706020559,0.138853798030785,127343.154883921,141711.100995229,149215.566385555,157972.933188256,174365.903091395,12.2052409900903,12.3243284170523,12.3887800400421,12.4543129237274,12.5735049931317,11.4076165372928,11.5436660984336,11.6176696810247,11.6903444706634,11.8288163886946,90004.64323562,103121.800580933,111042.654943978,119413.133614864,137148.066329304,199833.738175067,225106.390762951,240092.618954248,256353.57530949,288804.421931119
"29",1998,94818.9591900781,106731.767011146,114420.178320496,122106.449970463,139036.660203029,0.392418956866157,0.436182351782535,0.460410325328643,0.48369514537879,0.53109124495858,110892.337936539,125421.563987616,134005.811272979,142927.52544985,163013.955320636,217723.557866814,237596.34461773,248615.690673308,260649.496982526,284177.671266264,-1.30865810493854,-1.00225031371216,-0.864849470066131,-0.723407898659717,-0.420792432717994,65113.5484833294,75595.4524948505,81663.4932834837,88233.7967506529,100851.657888418,12.0924074149762,12.2042869665056,12.2637968158037,12.3240633213785,12.4371669717301,11.3027477413107,11.4268849640575,11.4905422286908,11.5596339073764,11.6902624992656,81044.0221069867,91755.7068913866,97786.5410578263,104781.646643942,119403.345606659,178511.342200522,199643.184265825,211884.547046828,225046.724219394,251995.616708504
"30",1999,121391.291077554,137151.386785219,146391.370996711,156690.525632567,177422.036123282,0.427176330766578,0.463315715830205,0.483172159420184,0.502690904554479,0.53881472019499,139426.265235961,150622.880316019,156740.963806948,163480.684861207,176749.396427863,273403.346986326,292455.834584174,303279.795762784,315350.701248466,341240.32792573,-0.840565419647285,-0.535076936515669,-0.407355278570763,-0.268314657567321,0.0282608922212993,116484.44283837,127782.516011569,134153.492834643,140919.687397942,152914.946382921,12.3346397486062,12.3908150854442,12.4214108988968,12.4523546313912,12.5114315699491,11.5332861833172,11.613021498089,11.6504981634911,11.6887434044959,11.7640958505169,102056.941232936,110527.70561891,114748.512342548,119222.098275358,128552.912875464,227439.545836516,240581.715805735,248056.271600545,255852.051242855,271422.403249036
