"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.ya[40,1]",5002.19080292853,2150.95106826214,1742.08704324755,3460.58588686227,4649.64439672544,6248.22041775423,10140.2828839958,1.00073605195698,3000
"N.ya[41,1]",4731.62275838421,2161.14900882567,1585.18888753295,3168.05162981988,4367.42105076283,5922.95099491472,10072.4879492118,1.00162922478366,1800
"N.ya[1,2]",99667.1121918579,9338.07820205092,82114.8316601361,93063.867054182,99326.1674775065,106087.793668836,118261.762603333,1.00443934329013,510
"N.ya[2,2]",81631.0378606778,8137.32348701071,67033.7660808491,76083.339228477,81396.1347757932,86958.0217176769,98369.3439414434,1.00404863128939,630
"N.ya[3,2]",111774.429976019,10525.182451791,91601.5830344739,104352.264869837,111695.788418588,118775.188026393,133161.335342662,1.00148639722807,2000
"N.ya[4,2]",162951.825044834,13992.1129600603,136467.53417725,153304.667703715,162703.231216684,172673.412934975,190008.219908433,1.0051514364559,430
"N.ya[5,2]",101627.600532998,12189.4948829373,79400.7959866804,93020.1857187557,101005.408978295,109347.584457076,128159.785278098,1.00085981020562,3000
"N.ya[6,2]",91750.5567903573,9531.9781821101,73825.8908653853,85456.6149790484,91303.2815162206,97824.138309632,112085.973142575,1.00118537360088,2900
"N.ya[7,2]",124135.815125527,17309.1146843798,94518.3821688038,111815.268538807,123030.074953869,135081.238294152,161298.90820194,1.0008038468844,3000
"N.ya[8,2]",164009.479807053,19261.1478513057,128514.987486554,150599.239179962,163283.352361646,176269.040519815,204351.160084843,1.00163305906001,1800
"N.ya[9,2]",188764.298376884,19301.7229033289,153488.81299567,175548.285703084,187563.666331211,201165.645517352,229646.862701947,1.00188470914369,1400
"N.ya[10,2]",85824.3534812111,11539.3006446908,64067.7766437804,77845.0904038004,85319.9736606112,93611.7780654275,110018.606828398,1.00094282607276,3000
"N.ya[11,2]",72892.6301995385,10340.5203992738,54364.8981657158,65774.6840705922,72453.7285298869,79460.4562052509,94514.0954395767,1.00213757877793,1200
"N.ya[12,2]",81871.5328503034,8769.22305545025,65286.152052317,75751.4105380595,81682.1841468738,87686.5258887012,99722.0486185827,1.00168475470051,1700
"N.ya[13,2]",55814.3931025836,6970.4284705825,42949.2461828033,51112.382997888,55597.3196247891,60257.5554485598,70460.4002643036,1.00060757358128,3000
"N.ya[14,2]",241931.634101151,21461.4359133336,202709.774115063,226947.052493296,241001.400887532,256586.389696994,285625.967295487,1.00128935970481,2500
"N.ya[15,2]",100674.86514716,12517.5222159585,78105.6422374914,91737.8799904885,100332.419354648,108927.774615254,126525.801113235,1.00196019872016,1400
"N.ya[16,2]",63787.6194865788,7436.14005303482,50014.9039524581,58604.4843418021,63396.254214434,68712.2920346601,79299.527246165,1.00212498086184,1200
"N.ya[17,2]",121954.53017315,14369.1958084464,94208.6195717941,111864.760721788,121478.780466135,131350.160561544,150843.93292462,1.0014227732669,2200
"N.ya[18,2]",149709.554821577,20526.4546905035,111843.615833442,135708.823824432,148301.197405376,162935.296823835,193258.189531607,1.00340942010336,690
"N.ya[19,2]",132914.658706958,13801.6311372833,107495.989778574,123316.958786147,132195.56454367,141882.64704588,161106.387941823,1.00171364902107,1600
"N.ya[20,2]",78338.4371549172,9460.91890899834,61031.2088020356,71764.6884224521,77980.8993160417,84598.8255859394,98067.1881286168,1.0037364347477,620
"N.ya[21,2]",161452.258908088,38293.0708486245,80461.1720451426,136616.538493504,163573.107263291,187481.994895403,231383.376420322,1.00688526991745,400
"N.ya[22,2]",113689.388374994,32685.6629756238,49756.9439418948,91326.2422819861,113498.407387903,135725.49401147,178337.031271025,1.00113212010943,3000
"N.ya[23,2]",154382.450799874,31017.2713393666,93638.4049179974,132662.729493001,155301.252341494,175965.900907437,213340.229647294,1.00186747066857,2200
"N.ya[24,2]",136380.572938772,16485.4822592907,105289.846158607,125186.217683164,135934.662267488,147047.46038425,170929.076920928,1.00075360247614,3000
"N.ya[25,2]",24944.1202167912,5102.37236408092,15723.8805300122,21385.5112401068,24650.1019229665,28204.5251454663,35744.1958634881,1.00143499536404,2100
"N.ya[26,2]",96892.0607720815,7674.24032379435,82035.8439644255,91528.0145955889,96808.5137739152,102024.833256194,111681.863426737,1.00096095584179,3000
"N.ya[27,2]",64825.1415551736,7986.70373858133,50116.7871288076,59189.6091729815,64592.5351883337,70008.5327455252,81584.2492857289,1.00119929920472,2900
"N.ya[28,2]",39814.3210243291,5814.36854471999,29184.9554897891,35670.52748858,39514.5701492502,43534.6422845915,51956.1005409947,1.00056778245159,3000
"N.ya[29,2]",84756.3610484652,7488.70109583514,70836.4242070655,79652.7655708099,84594.5615126405,89618.3684589713,100124.447778751,1.00327359864421,720
"N.ya[30,2]",29536.9118768185,3985.23048750243,22271.5614070438,26811.6717109283,29258.6948359442,32240.9038924951,37842.2822422914,1.00062893267887,3000
"N.ya[31,2]",40201.4661556998,5174.89130827206,30853.935287305,36504.6199454404,40013.9713752854,43600.9661690453,51062.7399111352,1.00060318119988,3000
"N.ya[32,2]",28021.1156840963,3128.07480972628,22155.6013962335,25886.1184507274,27961.1206960908,30143.1105432707,34226.6473968328,1.00177448819891,1600
"N.ya[33,2]",78168.9291997043,6072.26449781315,66902.5100390747,73945.4188499096,77953.8838008913,82252.883332228,90322.0290043799,1.00173594941054,1600
"N.ya[34,2]",153378.600083944,12830.1457300328,128553.16949027,144782.348382124,153061.749454112,161946.850066161,177872.73761607,1.00066877741167,3000
"N.ya[35,2]",34113.8898834096,4800.32558054579,25442.7502452557,30843.0042510697,33780.7407459791,37236.1920181478,44150.1412018689,1.00185901109179,1500
"N.ya[36,2]",49061.4661369902,4215.24963501755,40649.7344641483,46199.2505635674,49079.8523508735,51990.4072305117,57222.3789950939,1.0023879607889,1200
"N.ya[37,2]",124956.531393814,10111.5083325328,106046.496494032,118081.29985914,124676.890536736,131628.146399473,145516.555629574,1.00150833661454,2000
"N.ya[38,2]",100719.787423753,11100.2603633076,80319.7425273141,92853.4368924181,100518.874936587,108144.57072101,123116.689569331,1.00050461848046,3000
"N.ya[39,2]",105034.403362732,9178.28279862504,87474.5327570584,98744.5965387021,104996.892034622,111107.984027708,123109.731734687,1.00091466187031,3000
