,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,,
5104000,3.97E-06,1.051557852,1.293342236,252010.6006,325935.9536,0.529579728,133459.7053,134234.6823,0.532654904,,
5105000,2.53E-06,0.787111554,1.020992926,395725.1474,404032.5762,0.437526604,173140.2799,174285.8586,0.440421489,,
5106000,1.19E-05,1.676698349,1.866901095,84062.47055,156936.3183,0.689478169,57959.23823,58116.66365,0.691350888,,
5107000,1.96E-06,0.777629477,0.923930777,511121.2582,472240.6615,0.402210023,205578.093,206953.9427,0.404901849,,
5108000,6.17E-06,1.394613992,1.565678583,161947.0499,253557.0277,0.611244832,98989.2973,99424.69386,0.613933344,,
5109000,5.24E-06,1.132833166,1.312563904,190765.3398,250391.6992,0.535684272,102189.9921,102774.7558,0.538749628,,
5110000,5.35E-06,1.155640508,1.362434576,187090.0649,254897.9733,0.55128133,103139.2598,103705.4867,0.554307824,,
5111000,5.06E-06,1.034705667,1.203190058,197520.2683,237654.4231,0.500258387,98811.17079,99419.88241,0.503340155,,
5112000,4.54E-06,1.096791159,1.382126058,220471.5321,304719.4494,0.557343958,122878.4763,123541.2051,0.560349919,,
5113000,4.52E-06,0.871856757,1.017374615,221375.0525,225221.3587,0.43623373,96571.26485,97210.71537,0.439122269,,
5114000,6.31E-06,1.212587274,1.31946574,158486.2825,209117.2201,0.537863581,85243.99951,85729.14533,0.540924703,,
5115000,6.02E-06,1.067848118,1.218516142,166155.5461,202463.215,0.50532336,83962.27881,84474.91661,0.508408648,,
5116000,6.29E-06,1.215145715,1.353021935,158858.7494,214939.3724,0.548364182,87112.44823,87594.62968,0.551399467,,
5117000,3.49E-06,0.943218496,1.099363861,286668.742,315153.2549,0.465079867,133323.8605,134186.0631,0.468087529,,
5118000,7.36E-06,1.147317077,1.309076118,135879.6166,177876.761,0.534580439,72638.58511,73055.37595,0.537647793,,
5119000,4.11E-06,1.222322644,1.428144756,243287.9311,347450.3831,0.571300557,138990.5306,139707.4985,0.57424755,,
5120000,6.35E-06,1.093617273,1.292848313,157368.3679,203453.429,0.529422183,83314.30491,83798.27404,0.532497573,,
5121000,5.68E-06,0.987575967,1.402474781,176041.7493,246894.1138,0.563551905,99208.66314,99733.57593,0.566533656,,
5122000,6.68E-06,1.250813341,1.437864117,149624.3926,215139.5451,0.574210333,85915.87231,86354.66628,0.57714297,,
5123000,6.46E-06,1.173429796,1.321668155,154816.5503,204616.1043,0.538557608,83377.63092,83851.32197,0.5416173,,
5124000,6.00E-06,1.155057898,1.342115592,166790.7821,223852.5092,0.544968598,90895.7386,91403.55483,0.548013228,,
5125000,1.41E-06,0.761998194,1.005964326,707719.7802,711940.8516,0.432144667,305837.3289,307866.9902,0.435012556,,
5126000,1.12E-05,1.799737785,1.974928029,89540.25765,176835.5646,0.714440164,63971.15638,64113.73543,0.71603251,,
5127000,4.99E-06,0.719887674,0.926362385,200203.8146,185461.2831,0.403110884,80704.33661,81244.42938,0.405808598,,
5128000,9.63E-06,1.254741335,1.410476369,103862.3751,146495.4257,0.565977133,58783.72934,59092.34762,0.568948549,,
5129000,6.58E-06,1.33476749,1.481757005,151969.4034,225181.7281,0.587186235,89234.34183,89668.96886,0.590046199,,
5130000,5.95E-06,1.322765561,1.52744582,168045.6146,256680.5716,0.600406559,100895.6892,101361.4348,0.603178102,,
5131000,4.15E-06,0.847623602,1.034379025,240986.3544,249271.2303,0.442293715,106586.7499,107289.8281,0.445211217,,
5132000,7.89E-06,1.325337795,1.499995273,126783.141,190174.1123,0.592498629,75118.83727,75477.14677,0.59532479,,
5133000,3.95E-06,0.898785684,1.016426358,253338.236,257499.6606,0.435894601,110428.7693,111160.1213,0.438781461,,
5134000,5.38E-06,0.899277081,1.013133431,186041.4693,188484.8321,0.434715961,80875.19614,81411.17725,0.437596938,,
5135000,6.83E-06,1.17485933,1.318762263,146432.8806,193110.157,0.537641758,78728.43138,79176.74596,0.540703329,,
5136000,2.68E-06,0.908367127,1.155149855,373643.185,431613.8711,0.484168944,180906.4265,182049.153,0.487227281,,
5137000,3.41E-06,1.285026685,1.752255314,293093.2054,513574.1268,0.661199749,193793.1539,194437.6868,0.663398821,,
5138000,5.92E-06,0.261776565,0.684632738,169006.2923,115707.2407,0.30950583,52308.43278,52638.0708,0.311456278,,
5139000,3.66E-06,1.108410792,1.249828151,273018.3499,341226.0195,0.515569147,140759.8378,141602.5222,0.518655696,,
5140000,5.61E-06,1.237753597,1.441735067,178207.8264,256928.4725,0.575365533,102534.6411,103056.2089,0.578292273,,
5141000,3.24E-06,0.853444878,1.061299374,308875.5918,327809.4722,0.451804742,139551.457,140465.3714,0.454763585,,
5142000,4.78E-06,1.208810751,1.413161746,209278.8488,295744.8634,0.566789045,118616.9588,119238.0659,0.569756889,,
